Código,Cód. Pai,nome,CJF
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
133,3,Acolhimento de exceção,X
940,133,Impedimento ou Suspeição,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
12151,11,Suspeição,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
1013,3,Determinação,X
12255,1013,Redistribuição por prevenção,X
14776,3,Homologação em Parte,X
12455,3,Indeferimento,X
12067,3,Levantamento da Suspensão ou Dessobrestamento,X
12477,3,Não-Homologação,X
163,3,Não-Recebimento,X
804,163,Recurso,X
12300,3,Nomeação,X
12302,12300,Curador,X
12304,12300,Intérprete/Tradutor,X
12305,12300,Outros auxiliares de justiça,X
12306,12300,Perito,X
12164,3,Outras Decisões,X
15223,3,Prejudicado o Pedido,X
25,3,Suspensão ou Sobrestamento,X
15247,25,Por Expedição de Precatório,X
15248,25,Por Expedição de RPV,X
11009,1,Despacho,X
15216,11009,Determinação de Citação,X
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X
11010,11009,Mero expediente,X
12310,11009,Pauta,X
12311,12310,Pedido de inclusão,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X
12312,12310,Retirar pedido de inclusão,X
193,1,Julgamento,X
385,193,Com Resolução do Mérito,X
871,385,Acolhimento em parte de Embargos de Declaração,X
900,385,Declaração de competência em conflito,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
15165,385,Resolução Aprovada,X
15166,385,Resolução Desaprovada,X
14092,1,Voto,X
14095,14092,Outros Votos,X
14094,14092,Voto Divergente Vencedor,X
14093,14092,Voto do Relator,X
14,,Serventuário ,X
865,14,Arquivista,X
870,865,Autos Eliminados,X
869,865,Entrega definitiva dos autos,X
866,865,Guarda Intermediária,X
867,865,Guarda Permanente,X
977,865,Recebimento,X
978,865,Remessa,X
18,14,Distribuidor,X
22,18,Baixa Definitiva,X
26,18,Distribuição,X
981,18,Recebimento,X
12296,18,Registro Processual,X
982,18,Remessa,X
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,X
12102,48,"Adiamento do julgamento (CPC, art. 935)",X
135,48,Apensamento,X
861,48,Arquivamento,X
245,861,Provisório,X
12292,48,Ato cumprido pela parte ou interessado,X
12293,12292,Ato cumprido pela parte ou interessado (sem atributo),X
12294,12292,Comparecimento do Réu/Apenado,X
11383,48,Ato ordinatório,X
970,48,Audiência,X
12749,970,de Instrução,X
12750,970,de Instrução e Julgamento,X
12751,970,de Julgamento,X
12260,48,Autos restaurados,X
12289,48,Cancelamento,X
12290,12289,Documento Expedido,X
12291,12289,Movimentação processual,X
12186,48,Cancelamento de Distribuição,X
12284,48,Citação,X
12286,12284,Eletrônica,X
15246,12286,Não Confirmada,X
12281,48,Comunicação eletrônica,X
12283,12281,Confirmada,X
14961,12281,Erro ou Recusa na Comunicação,X
12282,12281,Expedida/Certificada,X
51,48,Conclusão,X
14732,48,Conversão de Autos Físicos em Eletrônicos,X
15186,48,Cooperação Judiciária,X
12066,48,Cumprimento de Levantamento da Suspensão ,X
12065,48,Cumprimento de Suspensão ou Sobrestamento,X
873,48,Deliberação em Sessão,X
12198,48,Deliberado em Sessão,X
12203,12198,Adiado,X
12273,12198,Convertido em diligência,X
