Código,Cód. Pai,nome,STJ
1,,Magistrado ,X
15185,1,Cooperação Judiciária,X
3,1,Decisão,X
15162,3,Acolhimento de Embargos de Declaração,X
133,3,Acolhimento de exceção,X
335,133,de pré-executividade,X
940,133,Impedimento ou Suspeição,X
371,133,Incompetência,X
15163,3,Acolhimento em Parte de Embargos de Declaração,X
15366,3,Acolhimento em Parte de Exceção de Pré-Executividade,X
206,3,Admissão,X
12446,206,Afetação tornada sem efeito,X
12431,206,Embargos ,X
12429,206,Embargos de Divergência,X
12454,206,Pedido de Uniformização de Interpretação de Lei,X
12428,206,Reclamação,X
430,206,Recurso especial,X
429,206,Recurso extraordinário,X
12445,206,Recurso Ordinário,X
12432,3,Afetação,X
12092,3,Afetação ao rito dos recursos repetitivos ,X
1008,3,Autorização,X
1011,1008,Inclusão em Regime Disciplinar Diferenciado,X
1010,1008,Saída Temporária,X
1009,1008,Trabalho Externo,X
1019,1008,Transferência da Execução da Pena,X
83,3,Cancelamento da distribuição,X
817,3,Concessão,X
11415,817,Comutação da pena,X
12149,817,Detração/Remição da Pena,X
990,817,Direito de visita,X
787,817,Gratuidade da Justiça,X
818,817,Liberdade provisória,X
339,817,Liminar,X
819,817,Livramento Condicional,X
14682,817,Medida Cautelar Diversa da Prisão,X
15506,817,Medida de Proteção da Lei 13.431/2017,X
15501,817,Medida de Proteção do Estatuto da Criança e do Adolescente,X
15496,817,Medida de Proteção do Estatuto do Idoso,X
11423,817,Medida protetiva,X
15491,817,Medida Protetiva da Lei Henry Borel,X
15486,817,Medida Protetiva da Lei Maria da Penha,X
988,817,Permissão de saída,X
12148,817,Prisão Domiciliar,X
1002,817,Progressão de regime,X
12308,817,Substituição/Sucessão da Parte,X
1017,817,Suspensão Condicional da Pena,X
332,817,Tutela Provisória,X
151,3,Concessão de efeito suspensivo,X
383,151,Impugnação ao cumprimento de sentença,X
381,151,Recurso,X
888,3,Concessão em parte,X
15103,888,Gratuidade da Justiça,X
892,888,Liminar,X
15507,888,Medida de Proteção da Lei 13.431/2017,X
15502,888,Medida de Proteção do Estatuto da Criança e do Adolescente,X
15497,888,Medida de Proteção do Estatuto do Idoso,X
11424,888,Medida protetiva,X
15492,888,Medida Protetiva da Lei Henry Borel,X
15487,888,Medida Protetiva da Lei Maria da Penha,X
889,888,Tutela Provisória,X
7,3,Conversão,X
12473,7,agravo em recurso especial ,X
821,7,Pena / Medida,X
12140,7,Prisão em Flagrante em Prisão Preventiva,X
12387,3,Decisão de Saneamento e Organização,X
12185,3,Decisão Interlocutória de Mérito,X
11,3,Declaração,X
12150,11,Impedimento,X
269,11,Impedimento ou Suspeição,X
941,11,Incompetência,X
12151,11,Suspeição,X
117,3,Decretação de Internação,X
824,117,Definitiva,X
823,117,Provisória,X
113,3,Decretação de Prisão Civil,X
354,113,Alimentos,X
355,113,Depositário infiel,X
108,3,Decretação de Prisão Criminal,X
15032,108,Manutenção da Prisão Preventiva,X
353,108,Preventiva,X
352,108,Temporária,X
12307,3,Decretação de revelia,X
12444,3,deferimento,X
15086,3,Deferimento em Parte,X
12320,3,Denegação de prevenção,X
122,3,Desacolhimento de Prisão,X
12147,122,Domiciliar,X
358,122,Preventiva,X
357,122,Temporária,X
12769,3,Desclassificação de Delito,X
14681,3,Descumprimento de Medida Protetiva da Lei Maria Penha,X
1013,3,Determinação,X
12430,1013,Arquivamento,X
11382,1013,Bloqueio/penhora on line,X
