Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JT2G
12775,,,,,,,,DIREITO À EDUCAÇÃO,X
12800,12775,,,2020-09-23 00:00:00,2021-07-14 11:40:28,,,Valorização do Magistério e dos Profissionais da Educação ,X
12868,12800,,,2020-09-23 00:00:00,2021-07-14 11:40:48,,,Absenteísmo Docente,X
12870,12868,,,2020-09-23 00:00:00,2021-07-14 11:41:03,,,Faltas,X
12873,12870,CLT,"art. 320, §3º e art. 473 (CLT); Art. 44, parágrafo único (Lei 8112)",2020-09-23 00:00:00,2021-07-14 11:41:15,,,Faltas Justificadas,X
12874,12870,,,2020-09-23 00:00:00,2021-07-14 11:41:30,,,Faltas não Justificadas,X
12869,12868,,,2020-09-23 00:00:00,2021-07-14 11:41:39,,,Licenças,X
12871,12869,CLT,476,2020-09-23 00:00:00,2021-07-14 11:41:49,,,Licença Saúde,X
12872,12869,CF; CLT; Lei 8112; PNE,"art. 5º, XVIII e XIX (CF); Art. 392, art. 543, 2º e art. 611-B, XIII e XIV (CLT); Art. 81 e ss (Lei 8112); Meta 18, Estratégia 18.4 (PNE)",2020-09-23 00:00:00,2021-07-14 11:41:58,,,Outras Licenças,X
12879,12800,,,2020-09-23 00:00:00,2021-07-14 11:42:27,,,Ensino à Distância,X
12880,12879,,,2020-09-23 00:00:00,2021-07-14 11:42:36,,,Certificação,X
12876,12800,Lei 8112/90; Lei 8745/93; CF; CLT,,2020-09-23 00:00:00,2021-07-14 11:42:57,,,Espécies de Vínculo de Trabalho,X
12877,12876,CF; Lei 8745/93,"art. 37, IX (CF); Art. 2º (Lei 8.745/93)",2020-09-23 00:00:00,2021-07-14 11:43:13,,,Contrato Temporário,X
12891,12800,LDB; PNE,art. 64 a 67 (LDB); Meta 15 (PNE),2020-09-23 00:00:00,2021-07-14 11:43:32,,,Formação,X
12892,12891,PNE,"Meta 15, Estratégia 15.11 e 15.12, Meta 16, Estratégia 16.1 e ss (PNE)",2020-09-23 00:00:00,2021-07-14 11:43:40,,,Continuada,X
12888,12800,CF; LDB; Lei 7.783/89,"art. 7º, VII c/c art. 39, §3º (CF); Art. 24, I, 31, II, 47 (LDB)",2020-09-23 00:00:00,2021-07-14 11:43:50,,,Greve,X
12889,12888,,,2020-09-23 00:00:00,2021-07-14 11:44:15,,,Contrato Temporário,X
12890,12888,,,2020-09-23 00:00:00,2021-07-14 11:44:24,,,Outros,X
12866,12800,CF; CLT; LDB,"art. 7, XIII e ss (CF); Art. 318 e ss (CLT); Art. 24 (LDB)",2020-09-23 00:00:00,2021-07-14 11:44:38,,,Jornada de Trabalho,X
12867,12866,"LDB, Lei 11.738","art. 13, V e 67, V (LDB); Art. 2 §4º (Lei 11738)",2020-09-23 00:00:00,2021-07-14 11:45:08,,,Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes,X
12885,12800,CLT,art. 317 e ss e art. 322,2020-09-23 00:00:00,2021-07-14 11:46:06,,,Remuneração,X
12887,12885,CF; LDB; PNE; Lei 11.738/2008,"art. 206 (CF); Art. 67, III (LDB); Meta 17, Estratégias 17.1 e 17.4 e Meta 18 (PNE); Art. 1 e 2 (Lei 11.738)",2020-09-23 00:00:00,2021-07-14 11:46:15,,,Piso Salarial,X
9985,,,,,,,,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,X
10186,9985,,,2008-09-30 15:52:52,,,,Agentes Políticos,X
10187,10186,,,2008-09-30 15:52:52,,,,Magistratura,X
10189,10187,LC 35,art. 29,2008-09-30 15:52:52,,,,Afastamento,X
10191,10187,LC 35,art. 50,2008-09-30 15:52:52,,,,Aposentadoria,X
